variable,season,SOS,EOS,mean,target_p90,gap
TBP,season1,2017-11-01,2018-08-01,10.873,15.807,4.934
Yield,season1,2017-11-01,2018-08-01,5.061,7.358,2.297
BWP,season1,2017-11-01,2018-08-01,1.817,2.127,0.31
cWP,season1,2017-11-01,2018-08-01,0.846,0.99,0.144
AETI,season1,2017-11-01,2018-08-01,581.469,,
ETc,season1,2017-11-01,2018-08-01,455.316,,
Adequacy,season1,2017-11-01,2018-08-01,1.237,,
GreenETa,season1,2017-11-01,2018-08-01,565.666,,
BlueETa,season1,2017-11-01,2018-08-01,15.802,,
PCP,season1,2017-11-01,2018-08-01,980.815,,
Peff,season1,2017-11-01,2018-08-01,669.021,,
