variable,season,SOS,EOS,mean,target_p90,gap
TBP,season1,2018-03-01,2018-11-01,14.353,21.736,7.382
Yield,season1,2018-03-01,2018-11-01,12.918,19.562,6.644
BWP,season1,2018-03-01,2018-11-01,1.65,1.884,0.234
cWP,season1,2018-03-01,2018-11-01,1.485,1.695,0.211
AETI,season1,2018-03-01,2018-11-01,847.936,,
ETc,season1,2018-03-01,2018-11-01,488.662,,
Adequacy,season1,2018-03-01,2018-11-01,1.71,,
GreenETa,season1,2018-03-01,2018-11-01,650.48,,
BlueETa,season1,2018-03-01,2018-11-01,197.457,,
PCP,season1,2018-03-01,2018-11-01,1019.652,,
Peff,season1,2018-03-01,2018-11-01,652.163,,
