variable,season,SOS,EOS,mean,target_p90,gap
TBP,season1,2018-03-01,2019-01-01,14.167,22.329,8.162
Yield,season1,2018-03-01,2019-01-01,41.557,65.498,23.941
BWP,season1,2018-03-01,2019-01-01,1.683,1.925,0.242
cWP,season1,2018-03-01,2019-01-01,4.937,5.646,0.709
AETI,season1,2018-03-01,2019-01-01,815.729,,
ETc,season1,2018-03-01,2019-01-01,600.032,,
Adequacy,season1,2018-03-01,2019-01-01,1.328,,
GreenETa,season1,2018-03-01,2019-01-01,751.326,,
BlueETa,season1,2018-03-01,2019-01-01,64.403,,
PCP,season1,2018-03-01,2019-01-01,1370.946,,
Peff,season1,2018-03-01,2019-01-01,838.583,,
