variable,season,SOS,EOS,mean,target_p90,gap
TBP,season1,2018-03-01,2019-01-01,14.167,22.329,8.162
Yield,season1,2018-03-01,2019-01-01,4.675,7.369,2.693
BWP,season1,2018-03-01,2019-01-01,1.683,1.925,0.242
cWP,season1,2018-03-01,2019-01-01,0.555,0.635,0.08
AETI,season1,2018-03-01,2019-01-01,815.729,,
ETc,season1,2018-03-01,2019-01-01,490.787,,
Adequacy,season1,2018-03-01,2019-01-01,1.623,,
GreenETa,season1,2018-03-01,2019-01-01,751.326,,
BlueETa,season1,2018-03-01,2019-01-01,64.403,,
PCP,season1,2018-03-01,2019-01-01,1370.946,,
Peff,season1,2018-03-01,2019-01-01,838.583,,
