variable,season,SOS,EOS,mean,target_p90,gap
TBP,season1,2018-04-01,2018-10-01,8.315,10.979,2.663
Yield,season1,2018-04-01,2018-10-01,2.559,3.378,0.819
BWP,season1,2018-04-01,2018-10-01,1.23,1.502,0.272
cWP,season1,2018-04-01,2018-10-01,0.378,0.462,0.084
AETI,season1,2018-04-01,2018-10-01,654.361,,
ETc,season1,2018-04-01,2018-10-01,551.647,,
Adequacy,season1,2018-04-01,2018-10-01,1.186,,
GreenETa,season1,2018-04-01,2018-10-01,357.007,,
BlueETa,season1,2018-04-01,2018-10-01,297.354,,
PCP,season1,2018-04-01,2018-10-01,471.831,,
Peff,season1,2018-04-01,2018-10-01,357.007,,
