variable,season,SOS,EOS,mean,target_p90,gap
TBP,season1,2018-04-01,2018-11-01,9.898,19.798,9.9
Yield,season1,2018-04-01,2018-11-01,9.7,19.402,9.702
BWP,season1,2018-04-01,2018-11-01,1.179,1.818,0.639
cWP,season1,2018-04-01,2018-11-01,1.156,1.782,0.626
AETI,season1,2018-04-01,2018-11-01,712.934,,
ETc,season1,2018-04-01,2018-11-01,326.342,,
Adequacy,season1,2018-04-01,2018-11-01,2.161,,
GreenETa,season1,2018-04-01,2018-11-01,478.86,,
BlueETa,season1,2018-04-01,2018-11-01,234.084,,
PCP,season1,2018-04-01,2018-11-01,780.268,,
Peff,season1,2018-04-01,2018-11-01,505.448,,
